epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1850,1.41934,2.02012,1.09383,0.56012,0.40388,0.46234,0.24501,1.77145,2.77813,1.25849,0.000310856,0.000310856,0.000310856
66,1877.22,1.39536,1.98843,1.09825,0.63605,0.39236,0.48506,0.2589,1.75297,2.69061,1.25005,0.000308604,0.000308604,0.000308604
67,1902.7,1.35294,1.91856,1.093,0.63605,0.39236,0.48506,0.2589,1.75297,2.69061,1.25005,0.000306351,0.000306351,0.000306351
68,1932.26,1.33754,1.95691,1.09346,0.69914,0.37664,0.49502,0.25954,1.74475,2.59363,1.24667,0.000304099,0.000304099,0.000304099
69,1969.56,1.32946,1.85797,1.10173,0.69914,0.37664,0.49502,0.25954,1.74475,2.59363,1.24667,0.000301847,0.000301847,0.000301847
70,2007.12,1.45011,1.91164,1.09708,0.65589,0.39745,0.51592,0.26602,1.73909,2.55013,1.23858,0.000299595,0.000299595,0.000299595
71,2035.17,1.33021,1.84205,1.06217,0.65589,0.39745,0.51592,0.26602,1.73909,2.55013,1.23858,0.000297342,0.000297342,0.000297342
72,2061.82,1.39378,1.96024,1.05891,0.68211,0.41975,0.55164,0.26993,1.83778,2.55015,1.29843,0.00029509,0.00029509,0.00029509
73,2087.68,1.39389,1.89074,1.14502,0.68211,0.41975,0.55164,0.26993,1.83778,2.55015,1.29843,0.000292838,0.000292838,0.000292838
74,2115.07,1.38063,1.87487,1.0668,0.62276,0.44493,0.54971,0.2844,1.80868,2.51151,1.29579,0.000290586,0.000290586,0.000290586
75,2141.97,1.40535,1.84036,1.14299,0.62276,0.44493,0.54971,0.2844,1.80868,2.51151,1.29579,0.000288333,0.000288333,0.000288333
76,2168.65,1.33314,1.76562,1.04528,0.51475,0.44508,0.56552,0.31891,1.70771,2.44965,1.25495,0.000286081,0.000286081,0.000286081
77,2194.62,1.3221,1.72327,1.11552,0.51475,0.44508,0.56552,0.31891,1.70771,2.44965,1.25495,0.000283829,0.000283829,0.000283829
78,2222.14,1.33323,1.78319,1.07921,0.57005,0.41182,0.55799,0.31381,1.71835,2.39574,1.25311,0.000281577,0.000281577,0.000281577
79,2249.34,1.39936,1.70422,1.09909,0.57005,0.41182,0.55799,0.31381,1.71835,2.39574,1.25311,0.000279325,0.000279325,0.000279325
80,2276.24,1.33925,1.64894,1.09041,0.51135,0.41933,0.55812,0.32334,1.70967,2.31919,1.27343,0.000277072,0.000277072,0.000277072
81,2302.11,1.28744,1.64557,1.09541,0.51135,0.41933,0.55812,0.32334,1.70967,2.31919,1.27343,0.00027482,0.00027482,0.00027482
82,2328.88,1.32823,1.68592,1.06444,0.46813,0.53189,0.57675,0.32926,1.70423,2.20494,1.28722,0.000272568,0.000272568,0.000272568
83,2358.36,1.28065,1.67949,1.10028,0.46813,0.53189,0.57675,0.32926,1.70423,2.20494,1.28722,0.000270316,0.000270316,0.000270316
